COPY_MUT_PROB,DISABLE_REACTION_SENSORS,EVENT_FILE,RANDOM_SEED,REACTION_SENSORS_NEUTRAL,change_rate,changing_env,average_generation,equals,equals_all_update,equals_odd+even,equals_odd+even_update,equals_update,genome_length,lineage_length,match_score_all,match_score_even,match_score_odd,match_score_odd_even,phenotype_all,phenotype_even,phenotype_odd,phenotype_task_order,plastic_odd_even,plastic_odd_even_update
0.0025,1,events-const-all.cfg,2026,0.0,u0,0,23851.3,True,51005,True,51005,51005,122,998,9,5,5,10,111111111,111111111,111111111,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-all.cfg,2027,0.0,u0,0,30136.5,False,None,False,None,None,115,891,7,5,3,8,111111100,111111100,111111100,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-all.cfg,2028,0.0,u0,0,33274.2,False,None,False,None,None,92,976,7,5,3,8,111111100,111111100,111111100,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-all.cfg,2029,0.0,u0,0,22223.9,True,7949,True,7949,7949,121,568,9,5,5,10,111111111,111111111,111111111,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-all.cfg,2030,0.0,u0,0,29866.6,False,None,False,None,None,118,960,8,4,4,8,111111110,111111110,111111110,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-all.cfg,2031,0.0,u0,0,29511.6,False,None,False,None,None,115,1394,7,5,3,8,111111100,111111100,111111100,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-all.cfg,2032,0.0,u0,0,30873.3,False,8326,False,8326,8326,113,930,0,4,4,8,000000000,000000000,000000000,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-all.cfg,2033,0.0,u0,0,28761.9,False,None,False,None,None,115,854,6,4,4,8,110111100,110111100,110111100,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-all.cfg,2034,0.0,u0,0,30464.9,False,None,False,None,None,107,1280,7,5,3,8,111111100,111111100,111111100,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-all.cfg,2035,0.0,u0,0,25939.2,True,102835,True,102835,102835,111,1093,8,6,4,10,111111101,111111101,111111101,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-all.cfg,2036,0.0,u0,0,34151.1,True,45566,True,45566,45566,114,769,8,6,4,10,111111101,111111101,111111101,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-all.cfg,2037,0.0,u0,0,30121.6,True,122783,True,122783,122783,118,893,8,6,4,10,111111101,111111101,111111101,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-all.cfg,2038,0.0,u0,0,25378.4,True,127961,True,127961,127961,110,956,9,5,5,10,111111111,111111111,111111111,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-all.cfg,2039,0.0,u0,0,31702.2,True,24252,True,24252,24252,108,723,9,5,5,10,111111111,111111111,111111111,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-all.cfg,2040,0.0,u0,0,30033.3,True,152286,True,152286,152286,126,1010,9,5,5,10,111111111,111111111,111111111,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-all.cfg,2041,0.0,u0,0,29942.9,True,166191,True,166191,166191,117,998,8,6,4,10,111111101,111111101,111111101,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-all.cfg,2042,0.0,u0,0,24431.1,True,126394,True,126394,126394,130,1370,8,6,4,10,111111101,111111101,111111101,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-all.cfg,2043,0.0,u0,0,29481.3,True,128012,True,128012,128012,113,1250,8,6,4,10,111111101,111111101,111111101,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-all.cfg,2044,0.0,u0,0,22072.1,True,148949,True,148949,148949,144,1348,9,5,5,10,111111111,111111111,111111111,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-all.cfg,2045,0.0,u0,0,30097.2,True,85030,True,85030,85030,114,941,8,4,6,10,111111011,111111011,111111011,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-all.cfg,2046,0.0,u0,0,34636.3,True,110220,True,110220,110220,122,1283,9,5,5,10,111111111,111111111,111111111,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-all.cfg,2047,0.0,u0,0,30224,False,None,False,None,None,115,979,8,4,4,8,111111110,111111110,111111110,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-all.cfg,2048,0.0,u0,0,17406.7,True,43963,True,43963,43963,214,1734,9,5,5,10,111111111,111111111,111111111,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-all.cfg,2049,0.0,u0,0,29373.2,False,None,False,None,None,118,1014,7,3,5,8,110111110,110111110,110111110,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-all.cfg,2050,0.0,u0,0,22614,False,None,False,None,None,115,857,6,6,2,8,101111100,101111100,101111100,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-all.cfg,2051,0.0,u0,0,29944.2,True,56886,True,56886,56886,111,909,8,6,4,10,111111101,111111101,111111101,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-all.cfg,2052,0.0,u0,0,31637.5,False,None,False,None,None,117,966,7,5,3,8,111111100,111111100,111111100,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-all.cfg,2053,0.0,u0,0,31458.8,True,22680,True,22680,22680,105,696,9,5,5,10,111111111,111111111,111111111,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-all.cfg,2054,0.0,u0,0,12908.7,True,85475,True,85475,85475,106,505,9,5,5,10,111111111,111111111,111111111,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-all.cfg,2055,0.0,u0,0,33083.7,False,None,False,None,None,100,1106,6,4,4,8,110111100,110111100,110111100,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-all.cfg,2056,0.0,u0,0,22609.6,True,21179,True,21179,21179,110,535,9,5,5,10,111111111,111111111,111111111,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-all.cfg,2057,0.0,u0,0,29510.6,True,183376,True,183376,183376,122,1385,8,6,4,10,111111101,111111101,111111101,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-all.cfg,2058,0.0,u0,0,29837.7,True,148735,True,148735,148735,124,1060,7,3,7,10,110101111,110101111,110101111,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-all.cfg,2059,0.0,u0,0,18673.9,True,34573,True,34573,34573,117,1577,9,5,5,10,111111111,111111111,111111111,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-all.cfg,2060,0.0,u0,0,24493.5,True,65209,True,65209,65209,208,2594,9,5,5,10,111111111,111111111,111111111,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-all.cfg,2061,0.0,u0,0,15363.6,True,29319,True,29319,29319,115,802,9,5,5,10,111111111,111111111,111111111,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-all.cfg,2062,0.0,u0,0,29187.9,False,None,False,None,None,118,1609,7,5,3,8,111111100,111111100,111111100,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-all.cfg,2063,0.0,u0,0,26478.1,True,12453,True,12453,12453,127,1186,9,5,5,10,111111111,111111111,111111111,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-all.cfg,2064,0.0,u0,0,30084,False,None,False,None,None,120,923,7,5,3,8,111111100,111111100,111111100,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-all.cfg,2065,0.0,u0,0,24220.9,True,68687,True,68687,68687,110,954,9,5,5,10,111111111,111111111,111111111,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-all.cfg,2066,0.0,u0,0,31352.8,True,171782,True,171782,171782,118,1215,8,6,4,10,111111101,111111101,111111101,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-all.cfg,2067,0.0,u0,0,27360.1,True,117708,True,117708,117708,121,1520,8,6,4,10,111111101,111111101,111111101,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-all.cfg,2068,0.0,u0,0,15924.1,True,56707,True,56707,56707,191,1367,8,4,6,10,110111111,110111111,110111111,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-all.cfg,2069,0.0,u0,0,22392.6,True,87730,True,87730,87730,117,1145,9,5,5,10,111111111,111111111,111111111,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-all.cfg,2070,0.0,u0,0,30277.8,True,15330,True,15330,15330,109,816,8,4,6,10,111111011,111111011,111111011,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-all.cfg,2071,0.0,u0,0,32197.9,True,188619,True,188619,188619,118,1073,9,5,5,10,111111111,111111111,111111111,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-all.cfg,2072,0.0,u0,0,32103.2,True,20806,True,20806,20806,111,716,8,6,4,10,111111101,111111101,111111101,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-all.cfg,2073,0.0,u0,0,26930.9,False,None,False,None,None,122,1204,6,4,4,8,110110110,110110110,110110110,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-all.cfg,2074,0.0,u0,0,26070.9,True,82325,True,82325,82325,108,873,9,5,5,10,111111111,111111111,111111111,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-all.cfg,2075,0.0,u0,0,24981.2,True,120890,True,120890,120890,122,1484,8,6,4,10,111111101,111111101,111111101,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-all.cfg,2076,0.0,u0,0,25044.8,True,92724,True,92724,92724,108,923,9,5,5,10,111111111,111111111,111111111,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
