COPY_MUT_PROB,DISABLE_REACTION_SENSORS,EVENT_FILE,RANDOM_SEED,REACTION_SENSORS_NEUTRAL,change_rate,changing_env,average_generation,equals,equals_all_update,equals_odd+even,equals_odd+even_update,equals_update,genome_length,lineage_length,match_score_all,match_score_even,match_score_odd,match_score_odd_even,phenotype_all,phenotype_even,phenotype_odd,phenotype_task_order,plastic_odd_even,plastic_odd_even_update
0.0025,1,events-const-00.cfg,1026,0.0,u0,0,29294.5,False,None,False,None,None,115,1363,4,8,0,8,101010100,101010100,101010100,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-00.cfg,1027,0.0,u0,0,29160.3,True,37127,True,37127,37127,119,1369,5,9,1,10,101010101,101010101,101010101,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-00.cfg,1028,0.0,u0,0,40394.5,True,27571,True,27571,27571,80,905,5,9,1,10,101010101,101010101,101010101,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-00.cfg,1029,0.0,u0,0,30427.9,True,71571,True,71571,71571,111,1217,5,9,1,10,101010101,101010101,101010101,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-00.cfg,1030,0.0,u0,0,28840.2,True,181942,True,181942,181942,121,1666,5,9,1,10,101010101,101010101,101010101,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-00.cfg,1031,0.0,u0,0,28951.8,False,None,False,None,None,117,1790,4,8,0,8,101010100,101010100,101010100,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-00.cfg,1032,0.0,u0,0,29137,True,39370,True,39370,39370,116,1355,4,8,2,10,100010101,100010101,100010101,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-00.cfg,1033,0.0,u0,0,31188.7,False,None,False,None,None,107,1581,4,8,0,8,101010100,101010100,101010100,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-00.cfg,1034,0.0,u0,0,28311.4,False,None,False,None,None,120,1501,3,7,1,8,100010100,100010100,100010100,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-00.cfg,1035,0.0,u0,0,29778.3,True,115207,True,115207,115207,119,1273,5,9,1,10,101010101,101010101,101010101,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-00.cfg,1036,0.0,u0,0,30575.2,True,40935,True,40935,40935,116,925,5,9,1,10,101010101,101010101,101010101,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-00.cfg,1037,0.0,u0,0,28942.4,True,181728,True,181728,181728,108,1380,3,7,3,10,100010001,100010001,100010001,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-00.cfg,1038,0.0,u0,0,29643.9,True,19926,True,19926,19926,108,1418,5,9,1,10,101010101,101010101,101010101,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-00.cfg,1039,0.0,u0,0,31457.2,True,73841,True,73841,73841,99,1835,4,8,2,10,100010101,100010101,100010101,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-00.cfg,1040,0.0,u0,0,29774.7,True,30357,True,30357,30357,112,1174,5,9,1,10,101010101,101010101,101010101,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-00.cfg,1041,0.0,u0,0,29933.7,True,107787,True,107787,107787,109,1056,5,9,1,10,101010101,101010101,101010101,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-00.cfg,1042,0.0,u0,0,35232.8,True,10735,True,10735,10735,88,1007,4,8,2,10,101010001,101010001,101010001,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-00.cfg,1043,0.0,u0,0,28213.1,True,25639,True,25639,25639,119,1528,5,9,1,10,101010101,101010101,101010101,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-00.cfg,1044,0.0,u0,0,29561,False,None,False,None,None,118,1196,4,8,0,8,101010100,101010100,101010100,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
